sentence_id,word_index,word,tag
1,1,జికా,B-DIS
1,2,వైరస్,I-DIS
1,3,దోమ,B-ORGANISM
1,4,కాటు,O
1,5,వలన,O
1,6,మనుషులకు,B-ORGANISM
1,7,వ్యాప్తి,O
1,8,చెందుతుంది,O
1,9,.,O
2,1,నిజానికి,O
2,2,ఎల్లో,B-DIS
2,3,ఫీవర్,I-DIS
2,4,",",O
2,5,వెస్ట్‌నైల్,B-DIS
2,6,చికన్‌గన్యా,I-DIS
2,7,",",O
2,8,డెంగ్యూ,B-DIS
2,9,కుటుంబానికి,O
2,10,చెందినదే,O
2,11,జికా,B-DIS
2,12,.,O
3,1,జికా,B-DIS
3,2,వైరస్,I-DIS
3,3,సోకిన,O
3,4,రోగికి,O
3,5,వ్యాధి,O
3,6,నయం,O
3,7,చేసే,O
3,8,మందులు,O
3,9,లేవు,O
3,10,.,O
4,1,ఎబోలా,B-DIS
4,2,వైరస్,I-DIS
4,3,సృష్టించిన,O
4,4,బీభత్సం,O
4,5,మర్చిపోకముందే,O
4,6,కొన్ని,O
4,7,తరాలను,O
4,8,ప్రభావితం,O
4,9,చేయగల,O
4,10,ఒక,O
4,11,వైరస్,O
4,12,ఇప్పుడు,O
4,13,ప్రపంచాన్ని,O
4,14,వణికిస్తున్నది,O
4,15,.,O
5,1,దోమల,B-ORGANISM
5,2,ద్వారా,O
5,3,వ్యాపించే,O
5,4,జికా,B-DIS
5,5,అనే,O
5,6,మహమ్మారి,O
5,7,ఇప్పటికే,O
5,8,25,B-CARDINAL
5,9,దేశాల్లో,B-LOC
5,10,విస్తరించింది,O
5,11,.,O
6,1,ప్రపంచాన్ని,B-LOC
6,2,వణికిస్తున్న,O
6,3,జికా,B-DIS
6,4,వైరస్,I-DIS
6,5,పై,O
6,6,భారత,B-LOC
6,7,దేశ,I-LOC
6,8,కేంద్రప్రభుత్వ,B-ORG
6,9,ఆరోగ్యశాఖ,I-ORG
6,10,అప్రమత్తం,O
6,11,అయింది,O
6,12,.,O
7,1,జికా,B-DIS
7,2,వైరస్,I-DIS
7,3,రూపంలో,O
7,4,ప్రపంచాన్ని,O
7,5,వణికిస్తున్న,O
7,6,వ్యాధి,B-DIS
7,7,కారకం,O
7,8,గురించి,O
7,9,మొదట్లో,O
7,10,ఎవరికీ,O
7,11,తెలియదు,O
7,12,.,O
8,1,జికా,B-DIS
8,2,వైరస్,I-DIS
8,3,నేపథ్యంలో,O
8,4,కరీబియన్,B-LOC
8,5,దేశాలకు,I-LOC
8,6,వెళ్లే,O
8,7,ప్రయాణికులు,O
8,8,",",O
8,9,పర్యాటకులకు,O
8,10,అమెరికా,B-LOC
8,11,సెంటర్,O
8,12,ఫర్,O
8,13,డిసీజ్,B-DIS
8,14,కంట్రోల్,O
8,15,",",O
8,16,కెనడా,B-LOC
8,17,ప్రభుత్వం,O
8,18,హెచ్చరికలు,O
8,19,జారీ,O
8,20,చేశాయి,O
8,21,.,O
9,1,ప్రత్యేకించి,O
9,2,లాటిన్,B-LOC
9,3,అమెరికాలో,I-LOC
9,4,జికా,B-DIS
9,5,వైరస్,I-DIS
9,6,విస్తృతంగా,O
9,7,వ్యాపిస్తున్నది,O
9,8,.,O
10,1,బొలీవియా,B-LOC
10,2,",",O
10,3,బ్రెజిల్,B-LOC
10,4,",",O
10,5,కేప్,B-LOC
10,6,వెర్డే,I-LOC
10,7,",",O
10,8,కొలంబియా,B-LOC
10,9,",",O
10,10,పరాగ్వే,B-LOC
10,11,",",O
10,12,అమెరికా,B-LOC
10,13,వర్జిన్,B-LOC
10,14,ఐలాండ్స్,I-LOC
10,15,",",O
10,16,వెనిజులా,B-LOC
10,17,",",O
10,18,పోర్టెరికో,B-LOC
10,19,తదితర,O
10,20,దేశాల్లో,B-LOC
10,21,ఇప్పటికే,O
10,22,వ్యాపించింది,O
10,23,.,O
11,1,జికా,B-DIS
11,2,వైరస్,I-DIS
11,3,నేపథ్యంలో,O
11,4,కరీబియన్,B-LOC
11,5,దేశాలకు,I-LOC
11,6,వెళ్లే,O
11,7,ప్రయాణికులు,O
11,8,",",O
11,9,పర్యాటకులకు,O
11,10,అమెరికా,B-LOC
11,11,సెంటర్,O
11,12,ఫర్,O
11,13,డిసీజ్,B-DIS
11,14,కంట్రోల్,O
11,15,",",O
11,16,కెనడా,B-LOC
11,17,ప్రభుత్వం,O
11,18,హెచ్చరికలు,O
11,19,జారీ,O
11,20,చేశాయి,O
11,21,.,O
12,1,అతి,O
12,2,త్వరలో,O
12,3,జికా,B-DIS
12,4,వైరస్,I-DIS
12,5,చిలీ,B-DIS
12,6,",",O
12,7,కెనడా,B-LOC
12,8,మినహా,O
12,9,మొత్తం,O
12,10,రెండు,B-CARDINAL
12,11,అమెరికా,B-LOC
12,12,ఖండాలకూ,I-LOC
12,13,విస్తరించే,O
12,14,అవకాశం,O
12,15,ఉందని,O
12,16,ప్రపంచ,O
12,17,ఆరోగ్య,O
12,18,సంస్థ,O
12,19,(,O
12,20,డబ్ల్యూహెచ్‌వో,B-ORG
12,21,),O
12,22,హెచ్చరించింది,O
12,23,.,O
13,1,న్యూయార్క్‌లో,B-LOC
13,2,మొదటి,B-CARDINAL
13,3,జీకా,B-DIS
13,4,ఇన్‌ఫెక్షన్‌ను,I-DIS
13,5,2013,B-CARDINAL
13,6,డిసెంబరులో,B-TIME
13,7,కనిపెట్టారు,O
13,8,.,O
14,1,ఇప్పుడు,O
14,2,జికా,B-DIS
14,3,వైరస్,I-DIS
14,4,లక్షలాది,B-CARDINAL
14,5,మందిని,O
14,6,కబళించే,O
14,7,అవకాశం,O
14,8,ఉందని,O
14,9,శాస్త్రవేత్తలు,O
14,10,చెప్తున్నారు,O
14,11,",",O
14,12,ప్రస్తుతం,O
14,13,33,B-CARDINAL
14,14,దేశాల్లో,B-LOC
14,15,జికా,B-DIS
14,16,వ్యాపించిందంటున్నారు,O
14,17,.,O
15,1,మైక్రోసిఫలే,B-DIS
15,2,అనే,O
15,3,ఈ,O
15,4,వ్యాధి,B-DIS
15,5,లక్షణానికి,O
15,6,చికిత్స,O
15,7,కూడా,O
15,8,లేదు,O
15,9,.,O
16,1,గర్భిణులకు,O
16,2,జికా,B-DIS
16,3,వైరస్,I-DIS
16,4,సోకిందీ,O
16,5,లేనిదీ,O
16,6,తెలుసుకోవడం,O
16,7,కూడా,O
16,8,అసాధ్యం,O
16,9,.,O
17,1,జికా,B-DIS
17,2,వైరస్,I-DIS
17,3,కారణంగా,O
17,4,పుట్టబోయే,O
17,5,బిడ్డల,O
17,6,యొక్క,O
17,7,తలలు,O
17,8,పూర్తి,O
17,9,పరిమాణంలో,O
17,10,అభివృద్ధి,O
17,11,చెందవు,O
17,12,.,O
18,1,కొలంబియాలో,B-LOC
18,2,మొత్తం,O
18,3,"25,645",B-CARDINAL
18,4,మంది,O
18,5,జికా,B-DIS
18,6,వైరస్‌,I-DIS
18,7,బారిన,O
18,8,పడ్డారని,O
18,9,",",O
18,10,అందులో,O
18,11,"3,177",B-CARDINAL
18,12,మంది,O
18,13,గర్భిణులు,O
18,14,ఉన్నట్లు,O
18,15,సాంటోస్‌,B-PER
18,16,వివరించారు,O
18,17,.,O
19,1,చాలామందిలో,O
19,2,బయటకు,O
19,3,ఎటువంటి,O
19,4,లక్షణాలు,O
19,5,కన్పించకపోవచ్చును.,O
19,6,[O],O
20,1,కాకపోతే,O
20,2,కొద్దిపాటి,O
20,3,జ్వరం,B-DIS
20,4,",",O
20,5,వంటిపై,O
20,6,దద్దుర్లు,B-DIS
20,7,",",O
20,8,కీళ్ళనొప్పులు,B-DIS
20,9,",",O
20,10,కళ్ళకలక,B-DIS
20,11,వంతివి,O
20,12,కనబడతాయి,O
20,13,.,O
21,1,కొంతమందికి,O
21,2,కండరాలనొప్పులు,B-DIS
21,3,కనిపించ,O
21,4,వచ్చును,O
21,5,.,O
22,1,కొందరిలో,O
22,2,తలనొప్పి,B-DIS
22,3,ఉంటుంది,O
22,4,.,O
23,1,ఓకసారి,O
23,2,జికా,B-DIS
23,3,వైరస్,I-DIS
23,4,సోకాక,O
23,5,లక్షణాలు,O
23,6,కనిపించటానికి,O
23,7,కొద్ది,O
23,8,రోజులు,B-TIME
23,9,మొదలుకొని,O
23,10,కొన్ని,O
23,11,వారాలు,B-TIME
23,12,పట్టవచ్చును,O
23,13,.,O
24,1,జికా,B-DIS
24,2,వైరస్,I-DIS
24,3,సోకితే,O
24,4,అది,O
24,5,వ్యాధికి,O
24,6,గురైన,O
24,7,వారి,O
24,8,రక్తంలో,O
24,9,కొన్ని,O
24,10,రోజులు,B-TIME
24,11,మొదలుకొని,O
24,12,",",O
24,13,కొన్నాళ్ళవరకు,B-TIME
24,14,ఉండవచ్చును,O
24,15,.,O
25,1,శ‌రీరం,O
25,2,డీ,B-DIS
25,3,హైడ్రేష‌న్‌కి,I-DIS
25,4,గురికాకుండా,O
25,5,ద్ర‌వ‌ప‌దార్థాలు,O
25,6,ఎక్కువ‌గా,O
25,7,తీసుకోవాలి,O
25,8,.,O
26,1,జ్వ‌రం,B-DIS
26,2,",",O
26,3,నొప్పుల‌ను,B-DIS
26,4,త‌గ్గించే,O
26,5,మందులు,B-MED
26,6,వాడాలి,O
26,7,.,O
27,1,యాస్ప్రిన్,B-MED
27,2,గానీ,O
27,3,",",O
27,4,ఇంకా,O
27,5,ఇత‌ర,O
27,6,నాన్,B-MED
27,7,స్టిరాయిడ‌ల్,I-MED
27,8,యాంటీ,I-MED
27,9,ఇన్‌ఫ్ల‌మేట‌రీ,I-MED
27,10,డ్ర‌గ్స్,I-MED
27,11,అంటే,O
27,12,ఇబుప్రొఫెన్‌,B-MED
27,13,",",O
27,14,న్యాప్రాక్సెన్,B-MED
27,15,లాంటివి,O
27,16,వాడకూడ‌దు,O
27,17,.,O
28,1,డెంగ్యూ,B-DIS
28,2,",",O
28,3,జికా,B-DIS
28,4,ల‌క్ష‌ణాలు,O
28,5,లేవ‌ని,O
28,6,తేలేవ‌ర‌కు,O
28,7,ఈ,O
28,8,మందుల‌ను,B-MED
28,9,వాడ‌కూడ‌దు,O
28,10,.,O
29,1,జ్వరాన్ని,B-DIS
29,2,తగ్గించూ,O
29,3,అసిటమినొపెన్,B-MED
29,4,వంటి,O
29,5,మందుమాత్రలు,B-MED
29,6,వాడాలి,O
29,7,.,O
30,1,అస్ప్రిన్,B-MED
30,2,",",O
30,3,నాన్,B-MED
30,4,స్టెరీయోడల్,I-MED
30,5,",",O
30,6,నొప్పినివారణమందులు,B-MED
30,7,వాడరాదు,O
30,8,.,O
31,1,జికా,B-DIS
31,2,వైరస్‌ను,I-DIS
31,3,గుర్తించడం,O
31,4,కూడా,O
31,5,చాలా,O
31,6,ఆశ్చర్యకరంగా,O
31,7,జరిగింది,O
31,8,.,O
32,1,బ్రెజిల్,B-LOC
32,2,డాక్టర్లు,O
32,3,వైద్య,O
32,4,శాస్త్రానికి,O
32,5,అంతుబట్టని,O
32,6,వ్యాధి,O
32,7,ఏదో,O
32,8,ప్రబలుతోందని,O
32,9,గమనించారు,O
32,10,.,O
33,1,దీనిని,O
33,2,మైక్రోసెఫలీ,B-DIS
33,3,అని,O
33,4,పేర్కొన్నారు,O
33,5,.,O
34,1,దోమల,B-ORGANISM
34,2,ద్వారా,O
34,3,జికా,B-DIS
34,4,వైరస్,I-DIS
34,5,ఓ,O
34,6,ఏడాది,B-CARDINAL
34,7,నుంచి,O
34,8,బ్రెజిల్‌లో,B-LOC
34,9,వ్యాపిస్తోందని,O
34,10,వారికి,O
34,11,సమాచారం,O
34,12,లేదు,O
34,13,.,O
35,1,ఉగాండాలో,B-LOC
35,2,1947లో,B-TIME
35,3,ఈ,O
35,4,వైర‌స్,B-DIS
35,5,పుట్టింద‌ని,O
35,6,ఆ,O
35,7,దేశ,O
35,8,శాస్త్ర‌వేత్త‌లు,O
35,9,చెబుతున్నారు,O
35,10,.,O
36,1,కానీ,O
36,2,చాలా,O
36,3,వైర‌స్‌లు,B-DIS
36,4,కాల‌క్ర‌మేణా,B-TIME
36,5,త‌మ,O
36,6,జ‌న్యువుల్లో,O
36,7,మార్పులు,O
36,8,సంత‌రించుకున్న‌ట్టే,O
